TIPO DE EQUIPO,TAG CUERPO,MODELO CUERPO,SERIAL CUERPO,TAMAÑO CUERPO,ANSI CUERPO,MATERIAL CUERPO,MODELO ACTUADOR,FALLA ACTUADOR,BENCH SET ACTUADOR,TRAVEL ACTUADOR,MODELO POSICIONADOR,FRICCION RECOMENDADA,FRICCION MEDIDA,BANDA DE ERROR DINAMICA RECOMENDADA,BANDA DE ERROR DINAMICA MEDIDA,LINEALIDAD DINAMICA RECOMENDADA,LINEALIDAD DINAMICA MEDIDA,TORQUE - CARGA EN EL ASIENTO RECOMENDADA,TORQUE - CARGA EN EL ASIENTO MEDIDA,estado_real
Válvula de control,TKA-LCV-1022,GX,12210387,6,#300,STL,GX,FAIL CLOSE (FC),8.0-30 psi,1 1/2,DVC 6200,60,265,2.6,1.19,2.4,2.4,692.5,1097,ALERTA
Válvula de control,TKA-PCV-5014,ET,F004194183,4,#600,WCC,667,FAIL CLOSE (FC),8.0-30 psi,1 1/2,DVC 6200,45,379,2.6,2.07,2.4,2.4,589.0,864,ALERTA
Válvula de control,TKA-TCV-0123,GX,F000096190,2,#300,STL,GX,FAIL CLOSE (FC),58.0-87 psi,25mm,DVC 6200,60,470,2.42,1.47,2.4,2.4,298.6,608,ALERTA
Válvula de control,TKA-LCV-1023,V200,F000096189,8,#150,WCC,2052,FAIL OPEN (FO),0.0-25 psi,90°,DVC 6200,0,268,3.6,1.64,2.6,2.6,746.0,565,ACEPTABLE CON COMENTARIOS
Válvula de control,TKA-PCV-5015,GX,F000450350,1,#300,STL,GX,FAIL CLOSE (FC),8.0-30.0 psi,25mm,DVC 6200,60,77,2.6,1.55,2.0,2.0,132.5,855,ALERTA
Válvula de control,TKA-TCV-0124,GX,F000278793,12,#150,STL,GX,FAIL CLOSE (FC),8.0-30.0 psi,4    ,DVC 6200,120,146,2.6,2.76,2.4,2.4,900.2,900,ACEPTABLE CON COMENTARIOS
Válvula de control,TKA-TCV-0123,ET,F000096187,2,#300,WCC,667,FAIL CLOSE (FC),6.0-30 psi, 3/4,DVC 6200,44,184,2.6,2.96,2.4,2.4,298.6,1027,ALERTA
Válvula de control,TKA-LCV-1023,ET,32033529,6,#600,WCC,657,FAIL OPEN (FO),8.0-30 psi,2 1/2,DVC 6200,0,394,2.77,2.19,2.36,2.36,704.5,1006,ALERTA
Válvula de control,TKA-PCV-5015,EZ,41042959,2,#600,WCC,667,FAIL CLOSE (FC),6.0-30.0 psi, 3/4,DVC 6200,36,236,2.78,2.19,2.35,2.35,450.0,1017,ALERTA
Válvula de control,TKA-TCV-0124,ET,50052390,3,#600,WCC,667,FAIL CLOSE (FC),6.0-30.0 psi, 3/4,DVC 6200,42,155,2.78,2.19,2.35,2.35,450.0,133,ALERTA
Válvula de control,TKA-LCV-1024,V150,F000096200,4,#150,STL,2052,FAIL OPEN (FO),0.0- 29 psi,90°,DVC 6200,0,65,2.79,2.19,2.34,2.34,516.3,504,ACEPTABLE CON COMENTARIOS
Válvula de control,TKA-PCV-5016,GX,F001354428,6,#300,STL,GX,FAIL CLOSE (FC),9.0-30.0 psi,2 1/2,DVC 6200,62,244,2.8,2.18,2.34,1.31,692.5,797,ACEPTABLE CON COMENTARIOS
Válvula de control,TKA-TCV-0125,EZ,F004194185,3,#300,CFSM,667,FAIL CLOSE (FC),3.0-24 psi, 3/4,DVC 6200,42,286,2.8,2.18,2.34,1.34,375.6,350,ACEPTABLE CON COMENTARIOS
Válvula de control,TKA-TCV-0124,ET,F000156131,2,#300,WCC,657,FAIL OPEN (FO),6.0-30.0 psi,1 1/8,DVC 6200,36,151,2.81,2.18,2.33,1.37,298.6,971,ALERTA
Válvula de control,TKA-LCV-1024,GX,F000096193,8,#150,STL,GX,FAIL OPEN (FO),6.0-30.0 psi,1 1/2,DVC 6200,95,446,2.82,2.18,2.33,1.4,746.0,444,ALERTA
Válvula de control,TKA-TCV-0121,EZ,19078164,8,#150,WCC,657,FAIL OPEN (FO),10.0-30 psi,1 1/2,DVC 6200,90,63,2.82,2.18,2.33,1.44,746.0,434,ALERTA
Válvula de control,TKA-LCV-1021,ET,F000156130,2,#300,WCC,657,FAIL OPEN (FO),6.0-30.0 psi, 3/4,DVC 6200,36,36,2.83,2.17,2.32,1.47,298.6,766,ACEPTABLE CON COMENTARIOS
Válvula de control,TKA-PCV-5013,V500,19078168,12,#150,WCC,2052,FAIL OPEN (FO),9.0-30 psi,90°,DVC 6200,0,73,2.84,2.17,2.32,1.5,900.2,885,ACEPTABLE CON COMENTARIOS
Válvula de control,TKA-TCV-0122,V200,19078170,10,#150,WCC,2052,FAIL CLOSE (FC),9.0-30 psi,90°,DVC 6200,0,317,2.84,2.17,2.31,1.53,820.0,297,ALERTA
Válvula de control,TKA-LCV-1022,EZ,F000096197,12,#150,STL,657,FAIL OPEN (FO),9.0-60.0 psi,8    ,DVC 6200,250,288,2.85,2.85,2.31,1.56,900.2,889,ACEPTABLE CON COMENTARIOS
Válvula de control,TKA-PCV-5014,ED,19078166,1,#300,WCC,667,FAIL CLOSE (FC),8.0-30 psi,1 1/8,DVC 6200,15,70,2.85,2.85,2.31,1.59,132.5,198,ALERTA
Válvula de control,TKA-TCV-0120,GX,F000096189,4,#150,STL,GX,FAIL CLOSE (FC),0.0-58.0 psi, 3/4,DVC 6200,60,229,2.86,2.86,2.3,1.63,516.3,984,ALERTA
Válvula de control,TKA-TCV-0119,HPT,12210388,4,#300,STL,667,FAIL CLOSE (FC),8.0-30 psi,2 1/2,DVC 6200,120,113,2.87,2.87,2.3,1.66,546.3,546,ACEPTABLE CON COMENTARIOS
Válvula de control,TKA-LCV-1022,EWT,F004194183,10,#600,WCC,657,FAIL OPEN (FO),8.0-30 psi,4    ,DVC 6200,350,29,2.87,2.87,2.29,1.69,890.0,900,ACEPTABLE CON COMENTARIOS
Válvula de control,TKA-PCV-5014,EHD,F000096190,6,#300,STL,657,FAIL OPEN (FO),58.0-87 psi,2    ,DVC 6200,120,57,2.88,2.88,2.29,1.72,692.5,309,ALERTA
Válvula de control,TKA-TCV-0123,ET,F000096189,6,#150,WCC,667,FAIL CLOSE (FC),0.0-25 psi,2    ,DVC 6200,7,363,2.89,2.89,2.29,1.75,650.2,577,ACEPTABLE CON COMENTARIOS
Válvula de control,TKA-LCV-1023,GX,F000450350,4,#300,STL,GX,FAIL CLOSE (FC),8.0-30.0 psi,1 1/2,DVC 6200,60,96,2.89,2.89,2.28,1.78,546.3,530,ACEPTABLE CON COMENTARIOS
Válvula de control,TKA-PCV-5015,EZ,F000278793,1,#150,STL,657,FAIL OPEN (FO),8.0-30.0 psi, 3/4,DVC 6200,15,224,2.9,2.15,2.28,1.82,120.0,120,ACEPTABLE CON COMENTARIOS
Válvula de control,TKA-TCV-0121,ET,F000096187,4,#300,WCC,667,FAIL CLOSE (FC),6.0-30 psi,1 1/2,DVC 6200,45,243,2.91,2.15,2.28,1.85,546.3,550,ACEPTABLE CON COMENTARIOS
Válvula de control,TKA-TCV-0120,V500,59061820,4,#600,WCC,2052,FAIL CLOSE (FC),8.0-30 psi,90°,DVC 6200,0,399,2.91,2.14,2.27,1.88,589.0,174,ALERTA
Válvula de control,TKA-LCV-1023,V200,68071251,1,#600,WCC,2052,FAIL OPEN (FO),6.0-30.0 psi,90°,DVC 6200,0,179,2.92,2.14,2.27,1.91,156.3,665,ALERTA
Válvula de control,TKA-PCV-5015,EZ,77080681,1,#600,WCC,667,FAIL CLOSE (FC),6.0-30.0 psi, 3/4,DVC 6200,15,15,2.93,2.14,2.26,1.94,156.3,993,ACEPTABLE CON COMENTARIOS
Válvula de control,TKA-TCV-0124,ED,F000096200,12,#150,STL,667,FAIL CLOSE (FC),0.0- 29 psi,4    ,DVC 6200,250,273,2.93,2.14,2.26,1.97,900.2,950,ACEPTABLE CON COMENTARIOS
Válvula de control,TKA-LCV-1024,GX,F001354428,8,#300,STL,GX,FAIL CLOSE (FC),9.0-30.0 psi,2    ,DVC 6200,95,408,2.94,2.13,2.26,2.01,789.0,1110,ALERTA
Válvula de control,TKB-PCV-5059,HPT,F004194185,6,#300,CFSM,667,FAIL CLOSE (FC),3.0-24 psi,2 1/2,DVC 6200,120,300,2.95,2.13,2.25,2.04,692.5,926,ALERTA
Válvula de control,TKB-LCV-1020,EWT,F000156131,4,#300,WCC,667,FAIL CLOSE (FC),6.0-30.0 psi,2 1/2,DVC 6200,120,348,2.95,2.13,2.25,2.07,546.3,556,ACEPTABLE CON COMENTARIOS
Válvula de control,TKB-TCV-7010,EHD,F000096193,1,#150,STL,667,FAIL CLOSE (FC),6.0-30.0 psi,1 1/8,DVC 6200,15,15,2.96,2.13,2.24,2.1,120.0,115,ACEPTABLE
Válvula de control,TKB-PCV-5060,ET,19078165,3,#150,WCC,657,FAIL OPEN (FO),10.0-30 psi, 3/4,DVC 6200,42,253,2.96,2.12,2.24,2.13,315.0,159,ALERTA
Válvula de control,TKB-LCV-1021,GX,F000156131,6,#300,WCC,GX,FAIL CLOSE (FC),6.0-30.0 psi,2    ,DVC 6200,62,370,2.97,2.12,2.24,2.24,692.5,871,ALERTA
Válvula de control,TKB-TCV-7011,EZ,19078172,10,#150,WCC,667,FAIL CLOSE (FC),9.0-30 psi,4    ,DVC 6200,160,407,2.98,2.12,2.23,2.23,820.0,325,ALERTA
Válvula de control,TKB-PCV-5061,ET,19078174,8,#150,WCC,667,FAIL CLOSE (FC),9.0-30 psi,1 1/2,DVC 6200,90,90,2.98,2.12,2.23,2.23,746.0,893,ACEPTABLE CON COMENTARIOS
Válvula de control,TKB-LCV-1022,V260,F000096198,2,#150,STL,2052,FAIL CLOSE (FC),9.0-60.0 psi,90°,DVC 6200,0,87,2.99,2.12,2.23,2.23,245.6,185,ACEPTABLE CON COMENTARIOS
Válvula de control,TKB-TCV-7012,V300,19078167,4,#300,WCC,2052,FAIL OPEN (FO),8.0-30 psi,90°,DVC 6200,0,57,3.0,2.11,2.22,2.22,546.3,523,ACEPTABLE CON COMENTARIOS
Válvula de control,TKB-PCV-5062,EZ,F000096190,4,#150,STL,667,FAIL CLOSE (FC),0.0-58.0 psi,1 1/2,DVC 6200,45,304,3.0,2.11,2.22,2.22,516.3,1005,ALERTA
Válvula de control,TKB-LCV-1023,ED,12210389,10,#300,STL,657,FAIL OPEN (FO),8.0-30 psi,4    ,DVC 6200,160,389,3.01,2.11,2.21,2.21,862.0,800,ACEPTABLE CON COMENTARIOS
Válvula de control,TKB-TCV-7013,GX,F004194183,4,#600,WCC,GX,FAIL CLOSE (FC),8.0-30 psi,1 1/2,DVC 6200,45,214,3.02,2.11,2.21,2.21,589.0,495,ACEPTABLE CON COMENTARIOS
Válvula de control,TKB-PCV-5063,HPT,F000096190,12,#300,STL,657,FAIL OPEN (FO),58.0-87 psi,4    ,DVC 6200,500,48,3.02,2.1,2.21,2.21,968.5,970,ACEPTABLE CON COMENTARIOS
Válvula de control,TKB-LCV-1024,EWT,F000096189,12,#150,WCC,667,FAIL CLOSE (FC),0.0-25 psi,4    ,DVC 6200,500,346,3.03,2.1,2.2,2.45,900.2,895,ACEPTABLE CON COMENTARIOS
Válvula de control,TKB-TCV-7014,ED,F000450350,1,#300,STL,667,FAIL CLOSE (FC),8.0-30.0 psi,1 1/8,DVC 6200,15,447,3.04,2.1,2.2,2.48,132.5,676,ALERTA
Válvula de control,TKB-PCV-5064,EZ,F000278793,1,#150,STL,657,FAIL OPEN (FO),8.0-30.0 psi, 3/4,DVC 6200,15,374,3.04,2.1,2.19,2.51,120.0,120,ACEPTABLE CON COMENTARIOS
Válvula de control,TKB-LCV-1025,GX,F000096187,8,#300,WCC,GX,FAIL OPEN (FO),6.0-30 psi,2 1/2,DVC 6200,95,477,3.05,2.09,2.19,2.54,789.0,1100,ALERTA
Válvula de control,TKB-TCV-7015,EZ,86090112,12,#600,WCC,657,FAIL OPEN (FO),8.0-30 psi,4    ,DVC 6200,250,333,3.06,2.09,2.19,2.58,1112.0,1100,ACEPTABLE CON COMENTARIOS
Válvula de control,TKB-PCV-5065,ED,95099542,2,#600,WCC,667,FAIL CLOSE (FC),6.0-30.0 psi, 3/4,DVC 6200,36,384,3.06,2.09,2.18,2.61,450.0,368,ALERTA
Válvula de control,TKB-LCV-1026,GX,104108973,8,#600,WCC,GX,FAIL OPEN (FO),6.0-30.0 psi,1 1/2,DVC 6200,95,102,3.07,2.09,2.18,2.64,823.0,874,ACEPTABLE CON COMENTARIOS
Válvula de control,TKB-TCV-7016,HPT,F000096200,4,#150,STL,657,FAIL OPEN (FO),0.0- 29 psi,1 1/2,DVC 6200,120,120,3.08,2.09,2.18,2.67,516.3,960,ACEPTABLE CON COMENTARIOS
Válvula de control,TKB-PCV-5066,EWT,F001354428,12,#300,STL,667,FAIL CLOSE (FC),9.0-30.0 psi,4    ,DVC 6200,500,500,3.08,2.08,2.17,2.7,968.5,900,ACEPTABLE CON COMENTARIOS
Válvula de control,TKB-LCV-1027,ED,F004194185,12,#300,CFSM,667,FAIL CLOSE (FC),3.0-24 psi,4    ,DVC 6200,250,250,3.09,2.08,2.17,2.73,968.5,920,ACEPTABLE CON COMENTARIOS
Válvula de control,TKB-TCV-7017,EZ,F000156131,1,#300,WCC,667,FAIL CLOSE (FC),6.0-30.0 psi, 3/4,DVC 6200,15,15,3.09,2.08,2.16,2.77,132.5,798,ACEPTABLE CON COMENTARIOS
Válvula de control,TKB-PCV-5067,GX,F000096193,8,#150,STL,GX,FAIL CLOSE (FC),6.0-30.0 psi,2 1/2,DVC 6200,95,95,3.1,2.08,2.16,2.8,746.0,237,ACEPTABLE CON COMENTARIOS
Válvula de control,TKB-LCV-1028,EZ,19078166,2,#150,WCC,657,FAIL OPEN (FO),10.0-30 psi,1 1/8,DVC 6200,36,36,3.11,2.07,2.16,2.83,245.6,330,ALERTA
Válvula de control,TKB-TCV-7018,ED,F000156132,3,#300,WCC,657,FAIL OPEN (FO),6.0-30.0 psi, 3/4,DVC 6200,42,42,3.11,2.07,2.15,2.86,375.6,705,ALERTA
Válvula de control,TKB-PCV-5068,GX,19078176,8,#150,WCC,GX,FAIL OPEN (FO),9.0-30 psi,2 1/2,DVC 6200,95,95,3.12,2.07,2.15,2.89,746.0,551,ALERTA
Válvula de control,TKB-LCV-1029,HPT,19078178,2,#150,WCC,657,FAIL OPEN (FO),9.0-30 psi, 3/4,DVC 6200,36,36,3.13,2.07,2.14,2.92,245.6,245,ACEPTABLE CON COMENTARIOS
Válvula de control,TKB-TCV-7019,EWT,F000096199,6,#150,STL,667,FAIL CLOSE (FC),9.0-60.0 psi,1 1/2,DVC 6200,120,120,3.13,2.06,2.14,2.96,650.2,713,ACEPTABLE CON COMENTARIOS
Válvula de control,TKB-PCV-5069,ED,19078168,6,#300,WCC,667,FAIL CLOSE (FC),8.0-30 psi,2 1/2,DVC 6200,75,138,3.14,2.06,2.14,2.99,692.5,418,ALERTA
Válvula de control,TKB-LCV-1030,EZ,F000096191,10,#150,STL,667,FAIL CLOSE (FC),0.0-58.0 psi,4    ,DVC 6200,160,470,3.15,2.06,2.13,3.02,820.0,843,ALERTA
Válvula de control,TKB-TCV-7020,GX,12210390,2,#300,STL,GX,FAIL OPEN (FO),8.0-30 psi, 3/4,DVC 6200,36,384,3.15,2.06,2.13,3.05,298.6,636,ALERTA
Válvula de control,TKB-PCV-5070,EZ,F004194183,6,#600,WCC,667,FAIL CLOSE (FC),8.0-30 psi,1    ,DVC 6200,75,481,3.16,2.06,2.13,3.08,704.5,880,ALERTA
Válvula de control,TKB-LCV-1031,ED,F000096190,2,#300,STL,657,FAIL OPEN (FO),58.0-87 psi,1 1/8,DVC 6200,36,120,3.17,2.05,2.12,3.11,298.6,252,ALERTA
Válvula de control,TKB-TCV-7021,GX,F000096189,3,#150,WCC,GX,FAIL OPEN (FO),0.0-25 psi, 3/4,DVC 6200,42,490,3.17,2.05,2.12,3.15,315.0,228,ALERTA
Válvula de control,TKB-PCV-5071,HPT,F000450350,8,#300,STL,667,FAIL CLOSE (FC),8.0-30.0 psi,2 1/2,DVC 6200,250,405,3.18,2.05,2.11,3.18,789.0,189,ALERTA
Válvula de control,TKB-LCV-1032,EWT,F000278793,3,#150,STL,657,FAIL OPEN (FO),8.0-30.0 psi, 3/4,DVC 6200,42,217,3.19,2.05,2.11,3.21,315.0,461,ALERTA
Válvula de control,TKB-TCV-7022,ED,F000096187,8,#300,WCC,667,FAIL CLOSE (FC),6.0-30 psi,2    ,DVC 6200,90,169,3.19,2.04,2.11,3.24,789.0,581,ALERTA
Válvula de control,TKB-PCV-5072,EZ,113118403,10,#600,WCC,657,FAIL OPEN (FO),8.0-30 psi,4    ,DVC 6200,160,368,3.2,2.04,2.1,3.27,890.0,850,ALERTA
Válvula de control,TKB-LCV-1033,GX,122127834,2,#600,WCC,GX,FAIL OPEN (FO),6.0-30.0 psi, 3/4,DVC 6200,36,244,3.21,2.04,2.1,3.3,450.0,897,ALERTA
Válvula de control,TKB-TCV-7023,EZ,131137264,12,#600,WCC,667,FAIL CLOSE (FC),6.0-30.0 psi,4    ,DVC 6200,250,379,3.21,2.04,2.09,3.34,1112.0,1200,ALERTA
Válvula de control,TKB-PCV-5073,8532,F000096200,6,#150,STL,2052,FAIL CLOSE (FC),0.0- 29 psi,90°,DVC 6200,0,440,3.22,2.03,2.09,3.37,650.2,859,ALERTA
Válvula de control,TKB-LCV-1034,8560,F001354428,1,#300,STL,2052,FAIL CLOSE (FC),9.0-30.0 psi,90°,DVC 6200,0,15,3.22,2.03,2.09,3.4,132.5,686,ALERTA
Válvula de control,TKB-TCV-7024,ED,F004194185,10,#300,CFSM,657,FAIL OPEN (FO),3.0-24 psi,4    ,DVC 6200,160,362,3.23,2.03,2.08,3.43,862.0,6000,ALERTA
Válvula de control,TKB-PCV-5074,GX,F000156131,6,#300,WCC,GX,FAIL CLOSE (FC),6.0-30.0 psi,1 1/2,DVC 6200,62,304,3.24,2.03,2.08,3.46,692.5,700,ALERTA
Válvula de control,TKB-LCV-1035,HPT,F000096193,3,#150,STL,667,FAIL CLOSE (FC),6.0-30.0 psi,1 1/8,DVC 6200,42,219,3.24,2.03,2.08,3.49,315.0,1101,ALERTA
Válvula de control,TKB-TCV-7025,EWT,19078167,12,#150,WCC,657,FAIL OPEN (FO),10.0-30 psi,4    ,DVC 6200,500,500,3.25,2.02,2.07,3.53,900.2,980,ACEPTABLE CON COMENTARIOS
Válvula de control,TKB-PCV-5075,ED,F000156133,4,#300,WCC,657,FAIL OPEN (FO),6.0-30.0 psi,1    ,DVC 6200,45,45,3.26,2.02,2.07,3.56,546.3,444,ACEPTABLE CON COMENTARIOS
Válvula de control,TKB-LCV-1036,EZ,19078180,2,#150,WCC,667,FAIL CLOSE (FC),9.0-30 psi, 3/4,DVC 6200,36,36,3.26,2.02,2.06,3.59,245.6,705,ALERTA
Válvula de control,TKC-TCV-6020,GX,19078182,8,#150,WCC,GX,FAIL CLOSE (FC),9.0-30 psi,1    ,DVC 6200,95,95,3.27,2.02,2.06,3.62,746.0,490,ALERTA
Válvula de control,TKC-PCV-5110,EZ,F000096200,10,#150,STL,667,FAIL CLOSE (FC),9.0-60.0 psi,8    ,DVC 6200,160,160,3.28,2.01,2.06,3.65,820.0,396,ALERTA
Válvula de control,TKC-LCV-2930,V260,19078169,8,#300,WCC,2052,FAIL CLOSE (FC),8.0-30 psi,90°,DVC 6200,0,420,3.28,2.01,2.05,3.69,789.0,737,ALERTA
Válvula de control,TKC-TCV-6021,V150,F000096192,2,#150,STL,2052,FAIL OPEN (FO),0.0-58.0 psi,90°,DVC 6200,0,369,3.29,2.01,2.05,3.72,245.6,827,ALERTA
Válvula de control,TKC-PCV-5111,ED,12210391,8,#300,STL,657,FAIL OPEN (FO),8.0-30 psi,1    ,DVC 6200,-60,143,3.3,2.01,2.04,3.75,789.0,798,ALERTA
Válvula de control,TKC-LCV-2931,GX,F004194183,3,#600,WCC,GX,FAIL CLOSE (FC),8.0-30 psi, 3/4,DVC 6200,42,339,3.3,2.0,2.04,3.78,450.0,561,ALERTA
Válvula de control,TKC-TCV-6022,HPT,F000096190,12,#300,STL,667,FAIL CLOSE (FC),58.0-87 psi,8    ,DVC 6200,500,324,3.31,2.0,2.04,3.81,968.5,920,ALERTA
Válvula de control,TKC-PCV-5112,EWT,F000096189,10,#150,WCC,657,FAIL OPEN (FO),0.0-25 psi,8    ,DVC 6200,350,325,3.32,2.0,2.03,3.84,820.0,653,ALERTA
Válvula de control,TKC-LCV-2932,ED,F000450350,12,#300,STL,657,FAIL OPEN (FO),8.0-30.0 psi,8    ,DVC 6200,250,402,3.32,2.0,2.03,3.88,968.5,922,ALERTA
Válvula de control,TKC-TCV-6023,EZ,F000278793,8,#150,STL,667,FAIL CLOSE (FC),8.0-30.0 psi,1 1/2,DVC 6200,22,324,3.33,2.0,2.03,3.91,746.0,151,ALERTA
Válvula de control,TKC-PCV-5113,GX,F000096187,8,#300,WCC,GX,FAIL CLOSE (FC),6.0-30 psi,1    ,DVC 6200,95,353,3.34,1.99,2.02,3.94,789.0,550,ALERTA
Válvula de control,TKC-LCV-2933,EZ,140146695,1,#600,WCC,657,FAIL OPEN (FO),8.0-30 psi, 3/4,DVC 6200,15,205,3.34,1.99,2.02,3.97,156.3,223,ALERTA
Válvula de control,TKC-TCV-6024,8532,149156125,4,#600,WCC,2052,FAIL CLOSE (FC),6.0-30.0 psi,90°,DVC 6200,0,460,3.35,1.99,2.01,4.0,589.0,631,ALERTA
Válvula de control,TKC-PCV-5114,8560,158165556,3,#600,WCC,2052,FAIL CLOSE (FC),6.0-30.0 psi,90°,DVC 6200,0,428,3.35,1.99,2.01,4.03,450.0,341,ALERTA
Válvula de control,TKC-LCV-2934,ED,F000096200,10,#150,STL,667,FAIL CLOSE (FC),0.0- 29 psi,8    ,DVC 6200,160,459,3.36,1.98,2.01,4.07,820.0,858,ALERTA
Válvula de control,TKC-TCV-6025,GX,F001354428,3,#300,STL,GX,FAIL CLOSE (FC),9.0-30.0 psi,1 1/8,DVC 6200,42,124,3.37,1.98,2.0,4.1,375.6,380,ALERTA
Válvula de control,TKC-PCV-5115,HPT,F004194185,1,#300,CFSM,657,FAIL OPEN (FO),3.0-24 psi, 3/4,DVC 6200,15,83,3.37,1.98,2.0,4.13,132.5,534,ALERTA
Válvula de control,TKC-LCV-2935,EWT,F000156131,2,#300,WCC,667,FAIL CLOSE (FC),6.0-30.0 psi, 3/4,DVC 6200,36,151,3.38,1.98,1.99,4.16,298.6,838,ALERTA
Válvula de control,TKC-TCV-6026,ED,F000096193,3,#150,STL,667,FAIL CLOSE (FC),6.0-30.0 psi, 3/4,DVC 6200,42,80,3.39,1.97,1.99,4.19,315.0,214,ALERTA
Válvula de control,TKC-PCV-5116,EZ,19078168,10,#150,WCC,667,FAIL CLOSE (FC),10.0-30 psi,4    ,DVC 6200,160,119,3.39,1.97,1.99,4.22,820.0,124,ALERTA
Válvula de control,TKC-LCV-2936,GX,F000156134,3,#300,WCC,GX,FAIL OPEN (FO),6.0-30.0 psi,1 1/8,DVC 6200,42,268,3.4,1.97,1.98,4.26,375.6,360,ALERTA
Válvula de control,TKC-TCV-6027,EZ,19078184,8,#150,WCC,657,FAIL OPEN (FO),9.0-30 psi,2    ,DVC 6200,0,246,3.41,1.97,1.98,4.29,746.0,210,ALERTA
Válvula de control,TKC-PCV-5117,V500,19078186,6,#150,WCC,2052,FAIL CLOSE (FC),9.0-30 psi,90°,DVC 6200,0,395,3.41,1.97,1.98,4.32,650.2,609,ALERTA
Válvula de control,TKC-LCV-2937,V150,F000096201,6,#150,STL,2052,FAIL OPEN (FO),9.0-60.0 psi,90°,DVC 6200,0,216,3.42,1.96,1.97,4.35,650.2,929,ALERTA
